Username,Password,Email,FirstName,LastName,Wishlist,ProductArticle
banana1,pass123,banana1@example.com,Jonn,Smith,no,
apple1,pass321,apple1@example.com,Linda,Gray,yes,P005
cherry1,pass001,cherry1@example.com,Victor,Thompson,no,
cucumber1,pass000,cucumber1@example.com,Nikita,Dubrovin,no,
grape1,pass100,grape1@example.com,Elon,Musk,yes,P004
pineapple1,pass876,pineapple1@example.com,Alice,Brown,yes,P007
coconut1,pass235,coconut1@example.com,Ann,Durham,no,
mango1,pass678,mango1@example.com,Sindhi,Ross,no,
tomato1,pass987,tomato1@example.com,Joshua,Montes,no,
orange1,pass832,orange1@example.com,Daniel,Griffin,yes,P003
